label,pred,exec_time_ms
0,0,0.904896
0,0,0.903958
1,0,0.761198
0,0,0.768802
2,2,0.763646
2,2,0.885834
0,0,0.801354
0,0,0.776928
0,0,0.785417
0,0,12.991877
0,0,1.765313
0,0,0.895104
0,0,0.800677
0,0,0.779218
0,0,0.799271
3,3,0.773073
0,0,0.770261
0,0,0.800105
2,2,1.889271
1,1,1.331406
0,0,1.532136
0,0,1.207292
0,0,1.284739
2,2,1.147917
0,0,1.283073
0,2,1.228438
0,0,1.193646
0,0,1.193229
0,0,1.241719
0,0,1.177136
0,0,1.138229
0,0,1.257083
0,0,1.133281
0,0,1.37349
0,0,1.358594
0,0,0.824584
0,0,0.89599
0,0,0.839427
0,0,0.785261
0,0,0.767657
0,0,0.779167
0,0,0.770312
2,2,0.770313
0,0,0.773594
0,0,0.769792
0,0,0.812552
0,0,0.760729
0,0,0.785365
0,0,0.856407
0,0,0.881302
0,0,0.823229
0,0,0.808646
0,0,0.781771
0,0,0.833542
0,0,0.79224
0,0,0.858959
0,0,0.837761
0,0,0.99552
0,0,1.29776
0,0,1.0325
0,3,0.875313
0,0,0.842292
2,2,0.826094
0,0,0.834948
0,0,0.903855
0,0,0.816823
0,0,0.836041
0,0,0.835157
1,0,0.930834
0,0,0.826667
0,0,0.828437
0,0,0.806042
0,0,0.879166
0,0,0.78276
0,0,0.804323
0,0,0.787656
0,0,0.972552
1,0,0.792031
0,0,0.771563
0,0,0.767292
0,0,0.862552
0,0,0.878958
1,1,0.762344
0,0,0.761771
0,0,0.818542
0,0,0.819375
0,0,0.828594
0,0,0.792813
0,0,0.86125
0,0,0.828854
0,0,0.780573
0,0,0.809792
0,0,0.898958
0,0,0.808854
0,0,0.83625
0,0,0.825312
1,2,0.849479
0,0,0.775833
0,0,0.764271
0,0,0.757083
2,2,0.777188
0,0,0.749688
0,0,0.760261
0,0,0.765833
0,0,0.769948
0,0,0.810573
0,0,0.755
2,2,0.755208
0,0,0.764636
0,0,0.830573
0,0,0.817083
0,0,0.843698
0,0,0.995938
0,0,1.027916
0,0,0.768281
0,0,0.75698
0,0,0.760469
0,0,0.794166
0,0,0.758854
0,0,0.813334
0,0,0.749011
0,0,0.792605
0,0,0.754844
0,0,0.756406
0,0,0.761354
0,0,0.829844
0,0,0.797187
0,0,0.785625
0,0,0.839375
0,0,0.932813
0,0,0.885104
0,0,0.793177
0,0,0.783125
0,0,0.829635
0,0,0.792135
0,0,0.770677
0,0,0.826771
0,0,0.885468
0,0,0.848646
0,0,0.86474
0,0,0.878542
0,0,0.940261
0,0,0.933646
0,0,0.965104
0,0,0.801094
0,0,0.849323
0,0,0.761302
1,1,0.769532
0,0,0.784948
0,0,0.899271
0,0,0.858489
0,0,0.828021
0,0,0.878906
0,0,0.988802
0,0,0.843802
0,0,0.8425
